Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
Audi, SQ8 e-tron,106 ,4.5 ,210 ,445 ,238 ,600 ,All Wheel Drive,5,110000,98295
Audi, SQ8 e-tron Sportback,106 ,4.5 ,210 ,470 ,226 ,630 ,All Wheel Drive,5,115000,100795
Volvo, EX90 Twin Motor,107 ,5.9 ,180 ,455 ,235 ,590 ,All Wheel Drive,7,105550,96255
Volvo, EX90 Twin Motor Performance,107 ,4.9 ,180 ,440 ,243 ,570 ,All Wheel Drive,7,110650,100555
Mercedes, EQB 250+,70.5 ,8.9 ,160 ,365 ,193 ,490 ,Front Wheel Drive,7,53978,
Toyota, Proace City Verso Electric L1 50 kWh,46.3 ,11.2 ,135 ,210 ,220 ,330 ,Front Wheel Drive,5,37800,
Toyota, Proace City Verso Electric L2 50 kWh,46.3 ,11.2 ,135 ,205 ,226 ,330 ,Front Wheel Drive,7,40150,
ORA, Funky Cat 48 kWh,45.4 ,8.3 ,160 ,260 ,175 ,240 ,Front Wheel Drive,5,38990,31995
BYD, ATTO 3,60 ,7.3 ,160 ,320 ,188 ,300 ,Front Wheel Drive,5,44625,36490
BYD, TANG ,84 ,4.6 ,180 ,350 ,240 ,330 ,All Wheel Drive,7,71400,
BYD, HAN ,83 ,3.9 ,180 ,465 ,178 ,450 ,All Wheel Drive,5,70805,
BMW, i4 eDrive35,67 ,6.0 ,190 ,400 ,168 ,540 ,Rear Wheel Drive,5,56500,49995
NIO, ET5 75 kWh,70.5 ,4.0 ,200 ,395 ,178 ,530 ,All Wheel Drive,5,59500,
NIO, ET5 100 kWh,90 ,4.0 ,200 ,495 ,182 ,520 ,All Wheel Drive,5,68500,
NIO, EL7 75 kWh,70.5 ,3.9 ,200 ,340 ,207 ,460 ,All Wheel Drive,5,85900,
NIO, EL7 100 kWh,90 ,3.9 ,200 ,430 ,209 ,450 ,All Wheel Drive,5,94900,
Abarth, 500e Scorpionissima,37.3 ,7.0 ,155 ,225 ,166 ,370 ,Front Wheel Drive,4,43000,36000
DS, 3 E-Tense,50.8 ,9.0 ,150 ,300 ,169 ,480 ,Front Wheel Drive,5,40540,37200
Opel, Astra Electric,50.8 ,8.5 ,170 ,310 ,164 ,500 ,Front Wheel Drive,5,40000,36000
Opel, Astra Sports Tourer Electric,50.8 ,8.5 ,170 ,300 ,169 ,480 ,Front Wheel Drive,5,42000,37000
